Min,Avg,Med,Max,Scale,StDev,n,University Name,English Speaking
7.08,8.82,8.93,9.91,10,0.65,59,"Indraprastha Institute of Information Technology, Delhi",N
3.09,3.45,3.36,3.84,4,0.26,9,Institut Teknologi Bandung,N
3.14,3.52,3.62,3.69,4,0.26,4,"Institute of Business Administration, Karachi",N
8.63,9.12,9.12,9.61,10,0.69,2,Institute of Technical Education and Research,N
7.96,8.5,8.45,9.07,10,0.5,5,"Institute of Technology, Banaras Hindu University",N
7.32,8.44,8.31,10,10,0.68,33,"Institute of Technology, Nirma University",N
13.4,16.42,16.5,19,20,1.57,18,"Instituto Superior Tecnico, Portugal",N
15,16.87,16.73,19,20,1.94,4,Instituto Superior Técnico,N
9.04,9.07,9.07,9.11,10,0.05,2,Instituto Tecnolgico Autnomo de Mexico,N
9,9.36,9.36,9.73,10,0.3,4,Instituto Tecnologico Autonomo de Mexico,N
8.5,8.83,9,9,10,0.29,3,Instituto Tecnologico de Aeronautica,N
91,91.5,91.5,92,100,0.71,2,Instituto Tecnologico y de Estudios Superiores de Monterrey,N
3.61,3.75,3.75,3.88,4,0.19,2,International Information Technologies University,N
7.17,8.26,8.23,9.37,10,0.61,29,International Institute of Information Technology,N
3.17,3.53,3.56,3.91,4,0.2,12,International Institute of Information Technology - Bangalore,N
7.93,8.24,8.22,8.57,10,0.31,4,"International Institute of Information Technology, Bhubaneswar",N
6.46,8.31,8.32,10,10,0.82,90,"International Institute of Information Technology, Hyderabad",N
2.73,3.61,3.7,3.96,4,0.35,15,Iowa State University,Y
13.1,15.83,15.7,19.12,20,1.85,11,Iran University of Science and Technology,N
14.64,16.87,17.44,18.32,20,1.62,7,Isfahan University of Technology,N
2.96,3.48,3.48,4,4,0.74,2,Islamic Azad University,N
13.76,16.41,17.09,18.88,20,2.13,7,Islamic Azad University,N
3.51,3.73,3.71,4,4,0.2,4,Istanbul Technical University,N
3.57,3.72,3.72,3.88,4,0.22,2,Ithaca College,N
61.28,69.34,69.34,77.4,100,11.4,2,"JSS Academy of Technical Education, Noida",N
1.28,2.07,1.47,4,4,1.13,6,Jacobs University,N
1.7,1.81,1.82,1.9,-6,0.1,4,Jacobs University Bremen,N
3.38,3.44,3.44,3.5,4,0.08,2,Jadavpur University,N
7.18,8.73,8.8,9.55,10,0.57,33,Jadavpur University,N
3.56,3.78,3.78,4,4,0.18,4,James Madison University,N
8.35,9.26,9.33,9.73,10,0.45,7,Jamia Millia Islamia,N
7.35,8.71,8.5,10,10,0.96,9,Jawaharlal Nehru Technological University,N
60.91,74.48,73.97,100,100,8.02,32,Jawaharlal Nehru Technological University,N
6,8.1,8.2,9.3,10,0.85,21,Jaypee Institute of Information Technology,N
81,81.5,81.5,82,100,0.71,2,Jaypee Institute of Information Technology,N
7,8.2,8.2,9.4,10,1.2,3,"Jaypee University of Information Technology, Solan",N
3.59,3.76,3.78,3.92,4,0.17,3,Jiao Tong University of Shanghai,N
85,87.1,87.1,89.2,100,2.97,2,Jiao Tong University of Shanghai,N
3.3,3.75,3.81,4,4,0.18,29,Jilin University,N
79.08,86.11,86.59,91.2,100,3.16,20,Jilin University,N
3.37,3.59,3.59,3.81,5,0.31,2,Jinan University,N
2.6,3.69,3.79,3.99,4,0.29,46,Johns Hopkins University,Y
77.8,81.1,81.1,84.4,100,4.67,2,Jordan University of Science and Technology,N
2.8,3.45,3.57,3.86,4,0.47,4,Juniata College,N
7.24,7.74,7.74,8.24,10,0.71,2,K L University,N
7.12,8.38,8.4,9.55,10,0.78,6,K. J. Somaiya College of Engineering,N
5.64,7.79,8.67,9.05,10,1.87,3,K. J. Somaiya Engineering College,N
62.44,68.05,68.42,72.9,100,4.32,4,K. J. Somaiya Engineering College,N
14.3,15.61,15.61,16.92,20,1.85,2,K.N.Toosi University of Technology,N
75.72,79.36,79.36,83,100,5.15,2,Kakatiya University,N
7.48,8.74,8.9,9.74,10,0.65,16,Kalinga Institute of Industrial Technology,N
3.84,3.87,3.87,3.89,4,0.03,2,Kansas State University,Y
1,2.03,1.3,3.8,4,1.54,3,"Karlsruhe Institute of Technology, Germany",N
1.2,1.65,1.65,2.1,5,0.64,2,"Karlsruhe Institute of Technology, Germany",N
1.4,1.73,1.6,2.4,-6,0.33,7,"Karlsruhe Institute of Technology, Germany",N
7.72,8.72,8.59,10,10,0.99,4,Karunya Institute of Technology,N
2.49,3.57,3.91,3.97,4,0.72,4,Kasetsart University,N
68.64,72.71,72.71,76.78,100,5.76,2,Katholieke Universiteit Leuven,N
3.54,3.79,3.85,3.91,4,0.17,4,Kean University,N
2.96,3.3,3.14,3.96,4,0.47,4,Keio University,N
3.71,3.85,3.85,4,4,0.21,2,Kennesaw State University,N
3.43,3.77,3.92,3.96,4,0.29,3,Kent State University,N
68.5,70.22,70.22,71.95,100,2.44,2,Kerala University,N
3.69,3.81,3.82,3.93,4,0.11,4,Kettering University,N
14.49,15.67,16.06,16.46,20,1.04,3,Khajeh Nasir University,N
3.42,4.29,4.47,4.97,5,0.79,3,King Abdul Aziz University,N
2.57,3.4,3.39,3.97,4,0.39,12,King Fahd University of Petroleum and Minerals,N
4.52,4.68,4.68,4.84,5,0.23,2,King Fiasal University,N
2.82,4.57,4.77,5,5,0.54,27,King Saud University,N
3.25,3.59,3.59,3.93,4,0.34,3,Knox College,N
3.28,3.81,3.84,4.03,4,0.26,7,KonKuk University,N
3,3.76,3.83,4.19,4,0.29,61,Korea Advanced Institute of Science and Technology,N
3,3.87,3.92,4.4,4,0.4,20,Korea University,N
2.97,3.64,3.57,4.14,4,0.39,12,Koç University,N
3.4,3.83,3.88,4.14,4,0.32,4,"Koç University, Istanbul, Turkey",N
8.78,8.83,8.83,8.88,10,0.07,2,Kumaraguru College of Technology,N
8.33,8.54,8.54,8.75,10,0.3,2,"Kurukshetra University, REC Kurukshetra",N
2.85,3.6,3.9,3.97,4,0.44,7,Kuwait University,N
64.88,69.77,66.68,77.76,100,6.97,3,Kwame Nkrumah University of Science and Technology,N
3.82,4.12,4.12,4.43,4,0.43,2,Kwangwoon University,N
3.7,3.87,3.87,4.03,4,0.23,2,Kyungpook National University,N
8.33,8.34,8.34,8.36,10,0.02,2,L.D. College of Engineering,N
77,82.33,82.33,87.66,100,7.54,2,L.D. College of Engineering,N
7.19,7.71,7.71,8.23,10,0.74,2,LDRP Institute of Technology and Research,N
2.76,3.48,3.77,3.9,4,0.62,3,La Salle University,Y
3.27,3.75,3.8,3.94,4,0.24,6,Lafayette College,Y
3.12,3.62,3.68,3.98,4,0.26,16,"Lahore University of Management Sciences, Pakistan",N
3.54,3.59,3.59,3.64,4,0.07,2,Lake Forest College,Y
4.5,4.55,4.55,4.61,5,0.08,2,Lanzhou University,N
9.27,9.63,9.63,10,10,0.52,2,Laurentian University,N
3.41,3.62,3.62,3.84,4,0.3,2,Lebanese American University,N
3.16,3.67,3.71,4,4,0.23,22,Lehigh University,Y
3.47,3.57,3.57,3.66,4,0.13,2,Liaoning Technical University,N
89.61,89.66,89.66,89.7,100,0.06,2,Liaoning University,N
3.36,3.59,3.59,3.82,4,0.33,2,Linfield College,N
3.86,3.94,3.95,4,4,0.07,3,Louisiana State University,Y
3.96,3.98,3.98,4,4,0.03,2,Louisiana Tech University,Y
7.16,7.25,7.25,7.34,10,0.13,2,Lovely Professional University,N
3.21,3.5,3.4,3.99,4,0.34,4,Loyola Marymount University,N
3.81,3.91,3.91,4,4,0.13,2,Lycee Louis-le-Grand,N
3.83,3.94,3.95,4,4,0.06,6,Lycee Sainte Genevieve,N
8.31,9.11,9.17,9.5,10,0.35,17,M S Ramaiah Institute of Technology,N
8.78,9.19,9.17,9.73,10,0.25,11,"M S Ramiah Institute of Technology, Bangalore",N
9.21,9.33,9.31,9.5,10,0.12,4,MIT World Peace University,N
3.27,3.66,3.79,3.93,4,0.27,12,Macalester College,N
